id,location,investigation,date_of_accident,date_of_report,time_of_accident,ai_category,body_part,nature_of_injury,type_of_contact,no_of_days_lost,target_closure_date,actual_closure_date,investigation_level
1,Central,Yes,10-03-2016,10-03-16,6:55:00 AM,Injury,Leg,Bruise / Contusion,"Slip, trip or fall on same level",0,02-06-17,02-06-17,
2,Central,Yes,18-08-2016,18-08-16,11:30:00 AM,Utility Damage,N/A,N/A,N/A,0,03-06-17,03-06-17,
9,Section 4,Yes,05-12-2016,05-12-16,4:00:00 PM,Utility Damage,N/A,N/A,N/A,0,04-06-17,25-01-17,
37,Section 3,Yes,31-05-2017,31-05-17,3:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,05-06-17,05-06-17,Low
38,Section 4,Yes,25-10-2016,25-10-16,4:30:00 PM,Injury,Hand,Cut / Laceration,"Struck by a falling, flying or moving object",1,06-06-17,05-06-17,Medium
39,Section 3,Yes,21-11-2016,21-11-16,8:40:00 AM,Injury,Hand,Cut / Laceration,Other,0,07-06-17,07-06-17,Low
40,Section 3,Yes,20-12-2016,20-12-16,4:30:00 PM,Injury,Hand,Puncture / penetrations injury ,Contact with moving machinery / power equipment,0,08-06-17,08-06-17,Medium
41,Section 2,Yes,24-01-2017,24-01-17,5:16:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,09-06-17,09-06-18,Low
42,Section 3,Yes,18-01-2017,18-01-17,11:20:00 PM,Injury,Leg,Sprain / Strain ,"Slip, trip or fall on same level",0,10-06-17,10-06-17,Low
43,Section 3,Yes,15-02-2017,15-02-17,12:00:00 PM,Injury,Fingers / Thumbs,Cut / Laceration,"Struck by a falling, flying or moving object",0,11-06-17,11-06-17,Low
44,Section 2,No,23-02-2017,23-02-17,9:30:00 AM,Injury,Leg,Sprain / Strain ,"Slip, trip or fall on same level",0,12-06-17,12-06-17,Low
45,Section 2,No,03-03-2017,03-03-17,9:30:00 AM,Injury,N/A,N/A,"Slip, trip or fall on same level",0,13-06-17,24-03-17,Low
46,Section 2,No,23-02-2017,23-02-17,9:45:00 AM,Injury,Torso,Bruise / Contusion,"Struck by a falling, flying or moving object",1,14-06-17,14-06-17,Medium
47,Section 4,Yes,02-04-2017,02-04-17,2:23:00 PM,Loss/Damage/Theft,N/A,N/A,Struck against a fixed or stationary object,0,15-06-17,15-04-17,Low
48,Section 2,No,29-03-2017,29-03-17,12:00:00 AM,Injury,Foot / Ankle,Sprain / Strain ,"Slip, trip or fall on same level",0,16-06-17,16-06-17,Low
49,Section 2,Yes,11-03-2017,11-03-17,11:30:00 AM,Injury,Leg,Sprain / Strain ,Other,4,17-06-17,22-06-17,Medium
50,Section 2,No,28-03-2017,28-03-17,12:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,18-06-17,11-04-17,Low
51,Section 3,No,27-03-2017,27-03-17,10:00:00 AM,Injury,Back / Buttocks,Sprain / Strain ,"Injured by carrying, handling or lifting",0,19-06-17,19-06-17,Low
52,Section 3,No,31-03-2017,31-03-17,1:20:00 PM,Injury,Head,Concussion,"Struck by a falling, flying or moving object",0,20-06-17,20-06-17,Low
53,Section 2,Yes,27-03-2017,27-03-17,2:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,"Struck by a falling, flying or moving object",0,21-06-17,21-06-18,Low
54,Section 2,No,04-06-2017,04-06-17,6:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,"Struck by a falling, flying or moving object",0,22-06-17,22-06-17,Medium
55,Section 3,No,07-04-2017,07-04-17,8:00:00 AM,Injury,Hand,Bruise / Contusion,"Struck by a falling, flying or moving object",0,23-06-17,23-06-17,Low
56,Section 4,No,10-04-2017,10-04-17,10:40:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,24-06-17,16-04-17,Low
57,Section 2,Yes,13-04-2017,13-04-17,8:00:00 AM,Loss/Damage/Theft,N/A,N/A,Contact with moving machinery / power equipment,0,25-06-17,25-06-17,Low
58,Section 4,No,20-04-2017,20-04-17,2:20:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,26-06-17,05-05-17,Low
59,Section 4,Yes,19-04-2017,19-04-17,11:17:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,27-06-17,27-04-17,Low
60,Section 4,No,25-04-2017,25-04-17,3:35:00 AM,Category 1 / 2 Near Miss,N/A,N/A,Other,0,28-06-17,26-04-17,Low
61,Section 4,No,25-04-2017,25-04-17,11:15:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,29-06-17,28-04-17,Low
62,Section 4,Yes,26-04-2017,26-04-17,9:00:00 AM,Utility Damage,N/A,N/A,Exposed to a harmful chemical substance,0,30-06-17,28-04-17,Low
63,Section 2,Yes,10-05-2017,10-05-17,1:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,"Struck by a falling, flying or moving object",0,01-07-17,01-07-17,High
64,Section 1,No,17-05-2017,17-05-17,10:15:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,02-07-17,17-05-17,Low
65,Section 2,No,15-05-2017,15-05-17,7:55:00 AM,Injury,Hand,Bruise / Contusion,"Slip, trip or fall on same level",0,03-07-17,03-07-17,Low
66,Section 2,Yes,17-05-2017,17-05-17,9:30:00 AM,Injury,Hand,Bruise / Contusion,"Struck by a falling, flying or moving object",0,04-07-17,04-07-18,Medium
67,Section 3,No,22-05-2017,22-05-17,9:30:00 AM,Injury,Face,Cut / Laceration,Struck against a fixed or stationary object,0,05-07-17,05-07-17,Medium
68,Section 3,No,24-05-2017,24-05-17,11:15:00 AM,Injury,Leg,N/A,"Slip, trip or fall on same level",0,06-07-17,06-07-17,Low
69,Section 1,No,30-05-2017,30-05-17,10:46:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,07-07-17,30-05-17,Low
70,Section 1,Yes,10-05-2017,10-05-17,7:30:00 AM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,08-07-17,05-10-17,Low
71,Section 4,No,31-05-2017,31-05-17,5:45:00 PM,Dangerous Occurrence,N/A,N/A,N/A,0,09-07-17,15-06-17,Low
72,Section 4,No,26-05-2017,26-05-17,12:20:00 PM,Injury,Fingers / Thumbs,Bruise / Contusion,Contact with moving machinery / power equipment,0,10-07-17,31-05-17,Low
73,Section 4,No,31-05-2017,31-05-17,8:00:00 AM,Injury,Face,Cut / Laceration,Other,0,11-07-17,07-05-17,Low
74,Section 2,Yes,06-06-2017,06-06-17,8:45:00 AM,Dangerous Occurrence,N/A,N/A,N/A,0,12-07-17,12-07-17,Medium
75,Section 2,Yes,06-06-2017,06-06-17,8:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,13-07-17,13-07-17,Low
76,Section 2,No,12-05-2017,12-05-17,11:30:00 AM,Injury,Back / Buttocks,Sprain / Strain ,"Injured by carrying, handling or lifting",0,14-07-17,06-07-17,Low
77,Section 2,Yes,08-06-2017,08-06-17,7:45:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,15-07-17,15-07-18,Low
78,Section 2,Yes,16-06-2017,16-06-17,12:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Fall from height,0,16-07-17,16-07-17,Medium
79,Section 4,Yes,20-06-2017,20-06-17,9:30:00 AM,Utility Damage,N/A,N/A,N/A,0,17-07-17,30-06-17,Low
80,Section 4,Yes,14-06-2017,14-06-17,1:35:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,18-07-17,15-06-17,Low
81,Section 3,Yes,19-06-2017,19-06-17,4:30:00 PM,Injury,Eyes,Abrasion,Exposed to dust ,5,19-07-17,19-07-17,Low
